id,Name,MinHeight,MaxHeight,GrowingPeriod,Uses,MinProduction,MaxProduction
289,Abelmoschus esculentus,2.0,4.0,/Annual,/Food/Construction/Medicinal,2.0,4.0
2588,Acacia brachystachya,3.0,7.0,/Perennial,/Food/Farming/Construction,,
2590,Acacia burrowii,7.0,10.0,/Perennial,/Construction,,
2589,Acacia brassii,4.0,10.0,/Perennial,/Construction,,
2583,Acacia aulacocarpa,5.0,35.0,/Perennial,/Construction,,
11711,Acacia brevispica,,,/Perennial,/Food/Farming/Construction,,
295,Acacia auriculiformis,8.0,30.0,/Annual/Perennial,/Food/Construction/Medicinal,10.0,20.0
2586,Acacia bidwillii,,,/Perennial,/Farming/Construction,,
2582,Acacia ataxacantha,,,/Perennial,/Food/Medicinal,,
2581,Acacia argyrodendron,12.0,15.0,/Perennial,/Farming/Construction,,
2580,Acacia anticeps,,,,,,
126290,Acacia angustissima,,,/Annual/Perennial,/Construction,,
2579,Acacia aneura,,,/Perennial,/Food/Farming/Construction,,
5603,Echinochloa utilis,,,/Annual,/Farming/Construction,35.0,
2576,Acacia ampliceps,2.0,8.0,/Perennial,/Farming/Construction/Medicinal,,
2578,Acacia ancistrocarpa,2.0,4.0,/Perennial,/Farming/Construction,,
1848,Rhizophora mangle,30.0,,/Perennial,/Construction/Medicinal,,
9593,Sauropus androgynus,3.5,,/Perennial,/Food/Farming/Medicinal,,
11018,Zoysia matrella,,,/Perennial,,,
9922,Solenostemon rotundifolius,,,,,,
11015,Zostera marina,,,,,,
18480,Zornia latifolia,,,/Perennial,/Farming/Construction,,
372331,Zornia glabra,,,/Annual/Perennial,/Farming/Construction,,
17633,Ziziphus mauritiana,,,/Perennial,/Food/Farming/Construction/Medicinal,,
11001,Ziziphus mucronata,,,/Perennial,/Food/Farming/Construction,,
243766,Ziziphus abyssinica,,,/Perennial,/Food/Farming/Construction,,
10994,Zizania latifolia,1.2,2.4,/Annual/Perennial,/Food/Medicinal,,
2177,Zingiber officinale,,,/Annual/Perennial,/Farming/Construction/Medicinal,1.5,7.5
10981,Zea mays ssp. saccharata,,,,,,
238663,Zea mays ssp. mays,,,/Annual,/Food/Farming,,
2175,Zea mays,,,/Annual,/Food/Farming/Construction/Medicinal,,
248815,Zanthoxylum chalybeum,,,/Perennial,/Food/Construction/Medicinal,,
10967,Yucca elephantipes,,,,,,
10956,Xylocarpus moluccensis,10.0,17.0,/Perennial,/Construction/Medicinal,,
10955,Xylocarpus mekongensis,,,,,,
10954,Xylocarpus granatum,,,,,,
10953,Xylia xylocarpa,,,,,,
10952,Xylia dolabriformis,,,,,,
2452,Ximenia americana,,,/Perennial,/Food/Construction/Medicinal,,
2168,Xanthosoma sagittifolium,1.3,2.5,/Perennial,/Food/Farming/Construction/Medicinal,25.0,37.0
10941,Xanthosoma brasiliense,,,/Perennial,/Food/Farming,20.0,50.0
10924,Wrightia tomentosa,,,,,,
10920,Withania somnifera,,,/Perennial,/Food/Medicinal,,
46753,Warburgia salutaris,,,/Perennial,/Food/Farming/Construction/Medicinal,,
2160,Vitis vinifera,,,/Perennial,/Food/Farming/Construction/Medicinal,10.0,90.0
10914,Warburgia ugandensis,,,/Perennial,/Food/Farming/Construction/Medicinal,,
10900,Vitis rotundifolia,,,,,,
10895,Vitis labrusca,,,/Perennial,,,
10885,Vitex parviflora,,,/Perennial,/Farming/Construction/Medicinal,,
10880,Vitex keniensis,,,/Perennial,/Food/Construction,,
10874,Vitex doniana,8.0,18.0,/Perennial,/Food/Farming/Construction,,
10870,Vitex agnus-castus,,,/Perennial,/Food/Medicinal,,
10841,Vinca minor,15.0,120.0,/Perennial,/Construction/Medicinal,,
10836,Vigna vexillata,,,,,,
10835,Vigna unguiculata ssp. unguiculata,15.0,80.0,/Annual,/Food/Farming/Construction/Medicinal,4.0,
10834,Vigna unguiculata ssp. sesquipedalis,,,/Annual,/Food/Farming/Construction,,
17651,Vigna unguiculata ssp. biflora,,,/Annual,/Food/Farming,1.0,2.5
2153,Vigna unguiculata,,,/Annual,/Food/Farming/Construction/Medicinal,,
2152,Vigna umbellata,30.0,75.0,/Annual/Perennial,/Food/Farming/Construction/Medicinal,,
10831,Vigna trilobata,,,/Annual/Perennial,/Food/Farming,3.0,
10830,Vigna subterranea,,,/Annual,/Food,3.6,
11401,Vigna parkeri sp. maranguensis,,,/Annual/Perennial,/Farming/Construction/Medicinal,1.0,4.0
2150,Vigna radiata,15.0,130.0,/Annual,/Food/Farming,3.0,
372330,Vigna parkeri sp. acutifolia,,,/Annual/Perennial,/Farming/Construction/Medicinal,1.0,4.0
10827,Vigna parkeri,,,/Annual/Perennial,/Farming/Construction/Medicinal,1.0,4.0
11399,Vigna oblongifolia,,,/Annual/Perennial,/Farming/Construction,2.0,6.0
2149,Vigna mungo,30.0,100.0,/Annual,/Food/Farming/Medicinal,,
10825,Vigna luteola,,,/Perennial,/Food,0.5,2.0
10823,Vigna hosei,,,,/Construction,,
2147,Vigna angularis,25.0,90.0,/Annual,/Food/Farming/Medicinal,,
2524,Vigna aconitifolia,,,/Annual,/Food/Farming/Medicinal,,
238009,Vicia villosa ssp. villosa,,,/Annual/Perennial/Biennial,/Farming,,
10816,Vicia villosa ssp. dasycarpa,30.0,50.0,/Annual,/Farming,,
238008,Vicia villosa sp. varia,,,/Annual/Biennial,/Food/Farming/Construction,,
238003,Vicia sativa ssp. sativa,10.0,50.0,/Annual,/Farming,,
238002,Vicia sativa ssp. nigra,,,/Annual,/Food/Farming,,
10810,Vicia pannonica,,,/Annual,/Farming,,
10809,Vicia narbonensis,30.0,60.0,/Annual,/Farming,,
10808,Vicia monantha,80.0,,/Annual,/Food/Farming,0.1,1.8
2146,Vicia faba,30.0,180.0,/Annual,/Food/Farming/Construction,,
17507,Vicia ervilia,20.0,90.0,/Annual,/Food/Farming,0.4,3.0
10802,Vicia benghalensis,,,/Annual/Perennial,/Farming,,
2144,Vetiveria zizanioides,,,/Perennial,/Farming/Construction/Medicinal,,
10763,Vernonia amygdalina,7.0,,/Perennial,/Food/Farming/Construction/Medicinal,,
