CropID,SciName,Info
289,Abelmoschus esculentus,"BRIEF DESCRIPTION  A herbaceous, upright, often much branched, slightly woody plant, up to 2-4 m in height, with spiny pubescence, large yellow flowers, and fruits which at maturity dry to a longitudinally dehiscent capsule, 25 cm long or more. USES  The young immature fruits are eaten fresh, cooked or fried as vegetables and the can be frozen, canned or dried. Fruits have medicinal properties. Ripe seeds contain 20% edible oil and they can be used as a substitute for coffee. In India, mucilage from the roots and stems has industrial value for clarifying sugarcane juice in gur manufacture. Dried okra powder is used in salad dressings, ice creams, cheese spreads, and confectionery. The stems provide a fiber of inferior quality. GROWING PERIOD  Annual. May require 50-90 days to first harvest and the harvest period may continue up to 180 days. COMMON NAMES  Okra, Ochro, Lady's Finger, Gumbo, Gombo, Cantarela, Quingombo, Rosenapfel, Bindi, Bhindee, Bhindi, Mesta, Vendakai, Kachang bendi, Kachang lender, Sayur bendi, Kachieb, Grajee-ap morn, You-padi, Ch'aan K'e, Tsau Kw'ai, Ila, Ilasha, Ilashodo, Quimbambo, Kopi arab, Khua ngwang, Krachiap mon, Dau bap. FURTHER INF  Scientific synonym: Hibiscus esculentus. Okra originated in South-East Asia. Most varieties grow well in the lowland humid tropics up to elevations of 1000 m. Adapted to moderate to high humidity. Okra is a short-day plant, but it has a wide geographic distribution, up to latitudes 35-40°S and N. Yields of green pods are often low, about 2-4 t/ha owing to extreme growing conditiuons, but  up to 10-40 t/ha may be produced."
2582,Acacia ataxacantha,"DESCRIPTION: A scrambling shrub or climber with long slender branches, yellow-brown bark, with light brown slash. Flowers 4-8 cm long, dense, subsessile in axillary white spikes. USE: Palatable but lightly browsed. Much used for making impenetrable live fences. Long, straight shoots used as walking sticks, bows, poles. Bark used for ropes. Ethno-medicine against syphilis, boils, helminthiasis and wound treatment, headache, toothache, respiratory diseases. GROWING PERIOD: Perennial. COMMON NAMES: Flamethorn, Vlamdoring. FURTHER INF: Occasionally forming dense thickets at the Sahelian-Sudanian ecozones border, particularly in post-clearing successions, often associated with Combretum micranthum. Often located on termitaria, and particularly on shallow hardpans. Common along water courses with a favourable water supply. Found on shallow iron or lateritic hardpans, with a silty to loamy surface layer."
2589,Acacia brassii,"BRIEF DESCRIPTION  A shrub or small tree usually 4-10 m in height. USES  The wood can be used as fuel and the tree can provide shelter. GROWING PERIOD  Fast-growing perennial. COMMON NAMES  Acacia brassii. FURTHER INF  Acacia brassii occurs in northeastern Queensland, Australia at latitudes between 11-15°S and elevations from sea level to 200 m. It can be found on flat to gently undulating country and on stream banks."
2586,Acacia bidwillii,"BRIEF DESCRIPTION  A small tree reaching a height of 6-12 m, with a fairly straight trunk up to 1/2 to 3/4 of the tree height and a moderately open crown. USES  It has limited value as dry season fodder. The wood can be used as fuel, posts, and poles. The tree can provide shade and shelter. GROWING PERIOD  Fast-growing perennial. COMMON NAMES  Corkwood wattle, Yadthor, Waneu. FURTHER INF  Corkwood wattle ocuurs in northern and eastern Australia at latitudes between 16-26°S and elevations from sea level to 350 m. It is mainly found on undulating country with some areas of gentle hills. The tree is fire-resistant. It has become a weed in some pastural areas of Queensland. (pH estimated by the compiler)."
11711,Acacia brevispica,"DESCRIPTION: A shrub 2 to 5 m high with long, thin, rambling branches covered with small scattered thorns. The leaves are fairly large and the white flowers are in globose heads. The pods are thin, flat and broad. USE: Goats browse on this bush to a considerable extent, eating the leaves, flowers and young pods. It is seldom eaten by cattle because of its thorny branches. The leaves and young pods have a protein content of 17 to 19 percent. GROWING PERIOD: Perennial. COMMON NAMES: FURTHER INF: It is widespread in woodland savannas of Africa, being found in the Sudan, Ethiopia, Somalia, Kenya, Zaire, Angola, Natal and Cape Province. In Kenya, it occurs at 1600 to 2000 m in elevation, where it often forms dense thickets on well-drained slopes in deep and fertile red soil. It is one of the species within the Acacia genus that is non-nodulating."
295,Acacia auriculiformis,"BRIEF DESCRIPTION  A low to medium-sized fast growing deciduous or evergreen tree. The tree can reach a height of 8-30 m and a trunk diameter of up to 60 cm. It has bright yellow flowers. USES  The wood can be used for firewood, charcoal, and high quality sulphate and neutral sulphite semichemical pulp. Tanning and dye can be extracted from the bark. The tree can provide shelter in beach a sea-front plantings, it can be used for revegetation of mining spoil heaps and wastelands, to stabilise steep eroded land, for shade and as an ornamental. It is mentioned as a possible agroforestry species. GROWING PERIOD  Perennial. Tolerate a dry season of 120-240 days. Can be grown with a rotation of 10-12 years. COMMON NAMES  Tan wattle, Northern black wattle, Earpod wattle, Darwin black wattle, Akashmoni, Australia babul, Kasia, Papua wattle, Japanese acacia, Auri, Kasia. FURTHER INF  Scientific synonyms: A. moniliformis, A. auriculaeformis. Tan wattle is indigenous to northeastern Australia, New Guinea, and the Kei Islands of Indonesia. It can be found naturally occuring within the latitudinal range 7-20°S, at altitudes between sea level and 600 m. It occurs naturally in coastal lowlands, in closed forests along streams, in low open forests and savannas, adjacent to mangroves, or behind beaches. It can grow on step slopes. Optimum annual wood production is 10-20 m3/ha. The tree fixes nitrogen and regenerates rapidly. Branches break easily in storm winds and the tree is not very fire resistant. In Florida the tree has become a weed."
2588,Acacia brachystachya,"BRIEF DESCRIPTION  A shrub or small tree reaching a height of 3-7 m. Usually branching from the base, with a spreading rounded crown of upright branches. USES  The wood can be used as fuel and for small ornamental objects. The leaves can provide low quality fodder. The seeds are edible. GROWING PERIOD  Perennial. COMMON NAMES  Umbrella mulga, Turpentine mulga, Narrowleaf mulga. FURTHER INF  Umbrella mulga is withspread in the arid interior Australia at latitudes between 21-34°S and at elevations up to 600 m. The tree is drought hardy, it fixes nitrogen and is mentioned as a possible agroforestry species."
2583,Acacia aulacocarpa,"DESCRIPTION: There are two varieties: var. fruticosa is a bushy shrub up to 2-3 m tall, while var. aulacocarpa often is a small to medium sized tree reaching 5-35 m in height, depending on the site. Under favourable conditions the trunk is straight and may reach 100 cm in diameter. USES: The wood is a good fuel when dry and it can be used as light structural and flooring timber, for boatbuilding, furniture and cabinet work, joinery and turnery. The tree can be utilized for light shade an as an ornamental. GROWING PERIOD  Fast-growing perennial. COMMON NAMES: Brown salwood, Bush ironbark wattle, Papua New Guinea brown wattle, Hicory wattle, Black wattle. FURTHER INF.: In Australia, the latitudinal range of brown salwood is 6-31°S and it occur at elevations between sea level and 1000 m. The tree can grow on a wide range of topography and although it is often found on flats and gently undulating terrain it may occur on steep rocky slopes."
2581,Acacia argyrodendron,"BRIEF DESCRIPTION  A tree normally reaching a height of 12-15 m but can reach up to 20 m and have a well shaped, straight trunk. USES  Can be used as cattle and sheep fodder. The wood can be utilized as firewood, charcoal, posts, poles, and rail material. The tree can be used for shelter erosion control, and menity plantings. GROWING PERIOD  Perennial. Withstanding a dry period of 4-6 months. COMMON NAMES  Black gidyea, Blackwood. FURTHER INF  Black gidyea occurs in northeastern Australia at latitudes between 20-24°S and at elevations from 150-350 m. It is mainly found on gently undulating country and plains."
2579,Acacia aneura,"BRIEF DESCRIPTION  Varies from a shrub 2-5 m tall, with markedly ascending branches in dry areas, to a small tree up to 9-15 m, with a well-defined main stem but less oblique branches in areas of higher rainfall. USES  Can be utilized as fodder, and for erosion control, shelter or as an ornamentel. The wood can be used as fuel and fence posts. The seeds are edible. GROWING PERIOD  Perennial. COMMON NAMES  Mulga. FURTHER INF  Mulga has a very wide distribution in central, eastern and western Australia. In Australia, the latitudinal range of Mulga is 18-34°S and it occurs at elevations between sea level and 1000 m. Mulga usually grows on flood and erosional plains, in broad vally heads and sand dunes. It is nitrogen fixing."
126290,Acacia angustissima,"DESCRIPTION: A thornless shrub or small tree, 2ˆ7 m high with a single short trunk. Leaves bipinnate, predominantly asymmetric with a displaced mid-vein, 10ˆ25 cm long, with 10ˆ20 pairs of pinnae. Inflorescences ellipsoidal with whitish heads 1ˆ1.5 cm in diameter, turning pinkish to dull orange when dry. Pods very thin-walled, papery, oblong , 3ˆ6 cm long and 6ˆ9 mm wide, with straight or sinuate margins, initially green, turning coffee-brown when ripe. USE: As a dry season forage and green manure. GROWING PERIOD: Perennial. COMMON NAMES: Chisos prairie acacia, Shreve's prairie acacia. FURTHER INF: Grows naturally on free-draining acid soils. Adapted to a wide range of soils including vertisols of slightly alkaline pH. In the native range, annual rainfall varies from 800ˆ3000 mm. Withstands moderate periods of drought , retaining its leaf through the 8-month dry season in eastern Indonesia. It grows naturally from near sea level to 2800 m in environments where mean temperatures range from 25ˆ30°C. Shows better growth potential at the higher elevations and moderate temperatures. It tolerates cold climates once established (occasional temperatures below freezing). May have moderate shade tolerance being native to oak/pine forests."
2575,Acacia ammobia,"BRIEF DESCRIPTION  A small tree with one or several stems reaching a height of 3-6 m. USES  The wood can be used as posts, poles, rail material, and fuelwood or charcoal. The tree can be used for soil stabilisation, low open shelter and windbreak, and ornamental planting. GROWING PERIOD  Perennial. COMMON NAMES  Acacia ammobia. FURTHER INF  Acacia ammobia has a limited natural distribution in central Australia between latitudes 23-26°S at elevations between 450-600 m. It occur on sand dunes and in sandy areas with scattered sandstone or less commonly on stony ridges and hills. It is killed by fire but will normally regenerate from seeds in the ground."
1887,Saccharum spontaneum,"BRIEF DESCRIPTION  A grass, free-tillering, often with aggressive rhizomes, reaching a height of up to 8 m, but normally it is 2-3.5 m. Culms slender, hard, pithy, often hollow, with little juice, and leaves 100-200 cm long. USES  It provides sugar, though the sucrose content is low and the fibre content high. Has been used in the breeding of S. officinarum, as it provides vigour, hardiness and resistance to many major diseases. GROWING PERIOD  Perennial, growing 10-24 months, but most sugar cane is grown for 14-18 months for the plant crop and 12 months for the ratoon crop. COMMON NAMES  Wild cane, Pip-pit, Glagah, Tatebu, Talahib, Tigbau, Sidda, 'am'peu prei, Ph'ong, Lau, Phong, Lao, Co'lach. FURTHER INF  Wild cane occurs in a wide region ranging from Africa and Afganistan to Japan and the South Pacific within the latitudinal range 40° to the equator. It can be found from sea level to 1700 m in elevation. It natural habitats includes swamps, saline swamps, deserts, jungles, sandy river flats, and the low slopes of the Himalayas."
2576,Acacia ampliceps,"BRIEF DESCRIPTION  A shrub or small tree reaching a height of 2-8 m. USES  The wood can be used for posts, poles, and fuel. The tree are browsed by cattle, and it can be used for dune rehabilitation on rocky coastal sites an reclamation of salt-effected sites and as a low windbreak. GROWING PERIOD  Fast-growing perennial. It withstands dry periods of 5-9 months. COMMON NAMES  Salt wattle, Jila jila bush, Nyarlka. FURTHER INF  Salt wattle occur in northwestern Australia at latitudes between 14-26°S and elevations from sea level to 400 m. It can be found on plains, sand dunes, along drainage lines or on low-lying or hilly country where it often occur in topographical situations where it recieves additional water. It is tolerant of alkaline, highly saline and waterlogged conditions."
