Category,SoilDepthOptimal,AltitudeAbsoluteMin,RainOptimalMin,RainAbsoluteMin,SoilPHAbsoluteMax,ProductSystem,SoilDrainageOptimal,AltitudeOptimalMax,RainAbsoluteMax,RainOptimalMax,CropCycleMax,LatitudeOptimalMin,SoilSalinityOptimal,LatitudeAbsoluteMax,CropCycleMin,PlantAttributes,ClimateZone,SciName,SoilDrainageAbsolute,Photoperiod,AbioticSuscept,EcocropHabit,LatitudeAbsoluteMin,TemperatureAbsoluteMax,TemperatureAbsoluteMin,KillingTempEarlyGrowth,LightIntensityAbsoluteMax,LightIntensityAbsoluteMin,SoilTextureOptimal,SoilToxicityOptimal,SoilSalinityAbsolute,LatitudeOptimalMax,SoilTextureAbsolute,SoilPHOptimalMax,KillingTempRest,IntroductionRisks,EcocropPhys,LightIntensityOptimalMax,SoilFertilityAbsolute,LifeForm,AltitudeAbsoluteMax,SoilPHOptimaMin,SoilPHAbsoluteMin,LifeSpan,SoilFertilityOptimal,TemperatureOptimalMin,TemperatureOptimalMax,AltitudeOptimalMin,SoilDepthAbsolute,AbioticToler,SoilToxicityAbsolute,LightIntensityOptimalMin
,shallow (20-50 cm),,,,,,,,,,,,,,,,,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia ammobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Acacia ataxacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Acacia aneura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia anticeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia argyrodendron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Acacia ancistrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Acacia angustissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia ampliceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Acacia acradenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Abutilon theophrasti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nerium oleander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Abies pindrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Abroma augustum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pinus rudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Abies concolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Carapa guianensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Acacia abyssinica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deep (>>150 cm),,,,,,,,,,,,,,,,,Pistacia lentiscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,medium (50-150 cm),,,,,,,,,,,,,,,,,Protea caffra ssp. caffra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
